,0,1
242,IL7R,RPS29
243,FCER1G,ALOX5
244,RPL35,RPL37
245,ANPEP,CD68
246,DAPK1,CSF2RA
247,RAB31,TYROBP
248,RPL31,RPL30
249,RPL27A,RPS12
250,RPL13,MAL
251,IRF8,TYROBP
252,C5AR1,SRGN
253,RPLP0,RPS27A
254,RPL17,RPS15A
255,GRINA,NPC2
256,PKIB,FILIP1L
257,PABPC1,RPS14
258,TYROBP,CCR1
259,FCGR3A,LILRB3
260,ALDH3B1,NCF2
261,TOMM7,RPL30
262,NINJ1,TGFBI
263,UNC93B1,C3AR1
264,MAFB,CTSH
265,CPVL,SIGLEC7
266,DMXL2,CYBB
267,FCGR3A,MPEG1
268,RPS18,RPL29
269,HLA-DMB,LPCAT2
270,NPC2,CLEC7A
271,RPS2,RPL13
272,RPS18,RPS5
273,HLA-DRB1,PSAP
274,RPL19,RPS4X
275,NPL,MS4A7
276,FCGR2A,C5AR1
277,LY86,FGL2
278,CD74,FCER1G
279,EMILIN2,SYK
280,GRINA,GNAI2
281,RPS27A,SPOCK2
282,RPS27,RPS2
283,SIGLEC9,TNFSF13
284,MAL,LTB
285,EEF1B2,RPL26
286,RPS10,RPL19
287,GNB1,HLA-DPA1
288,MAFB,LYZ
289,CD74,TGFBI
290,FCGR3A,SCPEP1
291,FTL,CORO1C
292,MNDA,FGD4
293,CD68,PDK4
294,HCK,RASSF4
295,CST3,MGAT1
296,METRNL,CD86
297,MS4A6A,BTK
298,RPL37,RPL4
299,RPL6,RPL35A
300,LRRC25,MS4A7
301,RPS15A,CD7
302,TPT1,LTB
303,TYROBP,ATP6V1F
304,RPL18A,RPS2
305,TBXAS1,IFNGR2
306,FCER1G,S100A9
307,FBP1,SLC11A1
308,PSAP,HLA-DMA
309,RPS13,RPL26
310,MAFB,KCTD12
311,RPL23A,RPS13
312,HLA-DRB1,FMNL2
313,HLA-DPB1,ANXA5
314,S100A6,SERPINA1
315,HLA-DPA1,IRF8
316,CPVL,CSTA
317,HMOX1,LYN
318,RPL29,RPS12
319,CYBA,HLA-DPA1
320,CST7,IL2RG
321,CD302,CD14
322,ZEB2,TYMP
323,TPT1,RPS12
324,RPL32,RPLP1
325,CSTA,SLC7A7
326,RPLP2,RPL35
327,LPCAT2,CTSC
328,CD86,LGALS1
329,RPS21,RPL19
330,LTB,RPL19
331,CD36,FCN1
332,RPL32,RPS4X
333,CST7,HLA-B
334,RPS13,RPS29
335,FCGR3A,PSAP
336,RPL13,RPL35
337,FCGR3A,CD86
338,MAFB,FCGRT
339,PLEK,SRGN
340,LY86,SPI1
341,RPS18,RPL10
342,IFI30,HCK
343,C1QA,TNFSF13
344,RPS29,RPL23A
345,TYROBP,TYMP
346,RPL14,RPS5
347,LILRB4,SAT1
348,RPL22,RPS25
349,ZNF385A,LTBR
350,SAT1,HSPA1A
351,MS4A7,FOS
352,HLA-DPB1,MFSD1
353,CST3,SHTN1
354,PLSCR1,GRN
355,FCGR2A,HNMT
356,HNMT,CD302
357,RPL27,RPL24
358,B2M,HLA-DRA
359,SOD2,FTL
360,CD63,MS4A7
361,RPS19,RPL22
362,FCER1G,PHC2
363,RPLP2,RPS7
364,LDHB,RPL10
365,C5AR1,MPEG1
366,RPS6,NACA
367,NKG7,PRF1
368,POMP,HLA-DPB1
369,RPL13,RPS7
370,VMO1,HLA-DPB1
371,FCGR3A,FMNL2
372,HSBP1,IFI30
373,RPL24,RPL30
374,TMEM51,MAFB
375,GNAI2,MS4A7
376,IFI30,S100A11
377,RPL36,RPS25
378,IFI30,PILRA
379,MFSD1,RAB31
380,DMXL2,CSF2RA
381,HLA-DRA,ADGRE2
382,HLA-DPB1,CXCL16
383,BATF3,LILRA2
384,GAA,CLEC7A
385,IFI30,TLR2
386,CD14,CD163
387,TYROBP,SERF2
388,MARCH1,MS4A7
389,SRGN,DUSP1
390,CPVL,CYBB
391,RPL10A,RPS6
392,CTSC,CTNNA1
393,RPS15,RPL27
394,CYBB,CTSS
395,CLEC7A,ASAH1
396,LGALS3,FGL2
397,MYOF,CYBB
398,DOK3,FCER1G
399,IGSF6,IFI30
400,IFNGR2,NPC2
401,SLC15A3,IGSF6
402,RPS16,RPL38
403,SAT1,CTSB
404,RPS29,RPL18A
405,S100A11,VIM
406,LST1,CXCL16
407,TCF7,RPS2
408,CEBPB,CEBPD
409,ANXA5,GAPDH
410,RPL32,RPL4
411,RPL36,RPLP2
412,SIGLEC10,SERPINA1
413,GLUL,IFITM3
414,PICALM,CFD
415,FCER1G,HSP90AA1
416,FBP1,ANXA5
417,CD36,DMXL2
418,TNFSF13,EMILIN2
419,RPS19,LTB
420,TYROBP,CST3
421,RPL14,RPL10
422,AIF1,C1QA
423,RNF149,SRGN
424,RPL19,RPS23
425,RAC1,HLA-DPB1
426,CD68,PLBD1
427,GRN,MFSD1
428,RPL6,RPL29
429,PLBD1,FCGRT
430,TGFBI,ZEB2
431,C5AR1,CD86
432,RPL37A,RPL34
433,HLA-DPB1,TIMP1
434,LILRB2,SLC31A2
435,CXCL16,LILRB1
436,CTSB,TUBA1B
437,RPL30,IL7R
438,CALCRL,EPDR1
439,RPS6,RPL35A
440,CLEC7A,NPC2
441,IFITM3,NPC2
442,TGFBI,GRINA
443,ZEB2,SYK
444,LAT2,RAB31
445,S100A11,VASP
446,RPS19,RPS12
447,HLA-DPA1,FTL
448,RPS16,RPS14
449,PLEK,MPEG1
450,SERPINA1,LST1
451,H2AFY,SAT1
452,OAZ1,ZYX
453,FCER1G,LYZ
454,C1QA,SLC31A2
455,RPS4X,RPL18
456,FTL,SRGN
457,RPL13,RPL37A
458,RPL13A,RPS6
459,RPS3,RPL36
460,MNDA,MPEG1
461,RPS15A,RPS21
462,GRN,CXCL16
463,RPL36,RPS24
464,LGALS3,SPI1
465,CCDC88A,TTYH3
466,MEF2C,IGSF6
467,CLEC7A,GNAI2
468,RPS18,RPS3
469,NAMPT,C5AR1
470,TYROBP,SYK
471,ANXA2,CSTA
472,TNFSF13,ADAP2
473,FYN,CST7
474,RPL31,RPL3
475,C1QB,HLA-DRA
476,LILRB2,HLA-DPA1
477,ASAH1,HLA-DPA1
478,RAB31,ARPC3
479,HLA-DRA,GNAI2
480,RPS29,RPL14
481,CLEC4A,CLEC7A
482,FCER1G,KCTD12
483,KYNU,CYBB
484,CMTM6,CXCL16
485,RPL34,RPL10A
486,RGS18,MNDA
487,MS4A6A,SPI1
488,LRP1,CSTA
489,RAB31,CD36
490,CYBB,PLSCR1
491,MPEG1,FCER1G
492,RPL32,RPS23
493,CD68,FCGR2A
494,LDHB,RPS15A
495,SLC8A1,HLA-DRA
496,HLA-DPB1,LGALS3
497,CYBB,GRINA
498,HLA-DPA1,TNFAIP2
499,RPS23,RPL15
500,RASSF4,BASP1
501,MPEG1,TGFBI
502,PYGL,TYROBP
503,CYBB,SH3BGRL
504,FCER1G,FCGRT
505,TMEM176B,ZNF385A
506,PSAP,CSF3R
507,RPS15A,CD3D
508,ADAP2,HNMT
509,RPS21,RPL24
510,TMEM176B,LAT2
511,ANXA5,MNDA
512,RPL6,RPL10
513,PAK1,LYZ
514,PRF1,TBX21
515,LYZ,IFITM3
516,LYN,CD302
517,NPC2,FCER1G
518,RPL37,RPL8
519,SPI1,FCGR3B
520,CEBPB,S100A11
521,HLA-DMA,CD63
522,ATF3,NR4A1
523,CEBPB,PILRA
