,0,1
245,PRAM1,CD163
246,LCK,CORO1A
247,TYMS,PPIA
248,ANXA2,LGALS1
249,RAC1,GAPDH
250,RPS13,RPL26
251,RALGPS2,ADAM28
252,ALDH1A1,PMP22
253,SHCBP1,CENPW
254,KIF15,CDKN3
255,FCGR1A,NCF2
256,PHF19,APOBEC3B
257,TYMS,MKI67
258,ARHGAP11A,PLK1
259,RPS11,FAU
260,CCL5,CD8A
261,KIF18A,DEPDC1B
262,SEL1L3,CD79A
263,ESCO2,C21orf58
264,RPL23,RPL15
265,DIAPH3,HJURP
266,CD2,TIGIT
267,DLGAP5,E2F8
268,RPS11,HLA-DRA
269,CRIP1,GBP5
270,AURKB,SMC2
271,SUN2,PTPRC
272,IL4I1,CTSH
273,RPL32,RPS27
274,CD180,CD74
275,PKM,APLP2
276,DSCC1,TPX2
277,RPS7,RPS6
278,RPL14,RPS13
279,CD68,TCN2
280,RPL6,TPT1
281,IFITM1,EVL
282,ORC6,ASF1B
283,ASGR1,CSF3R
284,KIF23,CIT
285,HELLS,ZWINT
286,CDCA8,E2F2
287,CDCA5,RRM1
288,HJURP,HMGB2
289,RPL14,RPL6
290,BIRC5,TOP2A
291,CST7,PYHIN1
292,AP2S1,ANXA5
293,CCNB2,PLK1
294,ITGAL,CD8A
295,RPS7,RPL10
296,TLR2,HCK
297,CD33,SERPINA1
298,KIF2C,ECT2
299,CD302,SLC7A7
300,FOXM1,ASF1B
301,WIPF1,SH2D2A
302,FOXP3,F5
303,NUSAP1,KIF4A
304,RPL19,RPL8
305,COX5A,TPI1
306,KIF2C,KIF4A
307,RRM2,SPAG5
308,CENPN,TPX2
309,PLAUR,CPVL
310,LRRC25,CSF3R
311,NEK2,NUF2
312,RPL26,RPL23A
313,FCGR2A,SORT1
314,THEMIS,GIMAP7
315,RPS20,RPS5
316,CD74,REL
317,VIM,YBX1
318,STMN1,NME1
319,IL2RA,FANK1
320,MELK,RACGAP1
321,RPS16,EEF1B2
322,GINS2,RMI2
323,GTSE1,TUBB4B
324,LILRA2,RNF144B
325,EEF1B2,RPS5
326,DUT,TYMS
327,RASGRP3,BANK1
328,CSTB,ATP6V0B
329,PABPC1,RPS3A
330,LILRA6,S100A12
331,CSF3R,APOBEC3A
332,CENPN,KIF2C
333,FBP1,S100A9
334,IFI30,VCAN
335,CST7,DTHD1
336,IFITM1,APOBEC3G
337,FCRL2,CD22
338,ZWINT,PKMYT1
339,SKA3,KIF20A
340,HLA-DRA,LILRB2
341,MS4A4A,IGSF6
342,RPLP2,RPL39
343,STAP1,BANK1
344,KIAA1551,GIMAP7
345,C19orf38,LILRB2
346,CDK1,HMGB2
347,FCRLA,HVCN1
348,TYMS,HIST1H1B
349,RPLP2,RPS5
350,ALDH2,IL1B
351,TSPAN13,FAM129C
352,HSPA1A,RHOB
353,KIFC1,CKAP2L
354,HMMR,KPNA2
355,LY86,MS4A1
356,CENPA,NDC80
357,BUB1B,CKAP2L
358,LST1,HLA-DRA
359,LILRA5,C5AR1
360,NUSAP1,FANCD2
361,ASF1B,CENPK
362,PILRA,FGL2
363,FCER2,BCL11A
364,ASF1B,H2AFX
365,MS4A7,IL1RN
366,SLC8A1,MAFB
367,RPL18,RPL5
368,CD300C,CD14
369,LILRB1,CYBB
370,S100A9,TLR2
371,RPL14,RPS11
372,CCR7,EEF1B2
373,MSN,LCP1
374,RAD54L,NDC80
375,RPL35,RPS24
376,CALR,PPIB
377,EVL,PRF1
378,ZNF385A,FCGR1A
379,PCNA,MCM5
380,CTSB,HSBP1
381,LST1,CD68
382,RPS9,RPS4X
383,ZFP36L2,TCF7
384,CD93,LILRA5
385,RPSA,RPS3A
386,FGR,KLRF1
387,RPS8,RPS9
388,EZH2,CDCA2
389,CD40,EBF1
390,ARHGDIB,LIMD2
391,RPL4,RPL3
392,CDCA3,OIP5
393,AOAH,GZMH
394,TYMS,DNMT1
395,KNSTRN,TPX2
396,EIF4B,EEF1A1
397,DIAPH3,SHCBP1
398,TNFAIP2,GRN
399,PRAME,SERPINF1
400,CD3D,THEMIS
401,NCAPD2,TROAP
402,RPS2,RPS21
403,NUF2,DEPDC1B
404,S100A8,APOBEC3A
405,CCNB2,CENPF
406,NCAPH,CDCA3
407,RPL35,FAU
408,UBE2C,RACGAP1
409,CPVL,CD163
410,RPL13,RPS7
411,CD19,EBF1
412,HSPD1,ENO1
413,KNSTRN,KIF2C
414,ITGAL,HLA-C
415,MPEG1,SYK
416,DNAJC9,UBE2C
417,RPL35A,RPS9
418,SKA3,EXO1
419,RPL26,RPS2
420,ECT2,KIF2C
421,RPS14,RPL37
422,TIMP2,DAPK1
423,VPREB3,FCRLA
424,RPA3,SHCBP1
425,GPNMB,RAB13
426,RPS10,RPL35A
427,RAB31,TYROBP
428,BUB1,FBXO5
429,TYMS,LIG1
430,TNFRSF9,GBP2
431,ASF1B,HMGN2
432,CLEC4A,RAB31
433,LGALS1,S100A11
434,SLC7A7,C19orf38
435,BTK,HLA-DRB1
436,NUF2,CDCA8
437,RPSA,RPL37A
438,SCAMP5,EPHB1
439,PRF1,MYO1F
440,SPC24,TPX2
441,CXCR5,LTB
442,WDFY4,GAPT
443,RPS4X,RPL41
444,EXO1,UBE2T
445,ATAD2,CDCA7
446,CDC6,DSCC1
447,RPS2,RPL32
448,CHEK1,CDCA7
449,RPL35A,RPS27A
450,RPS23,RPL32
451,RPS25,RPS15A
452,PLK1,GGH
453,TYROBP,CYBB
454,CD79A,PKHD1L1
455,RRM2,TTK
456,KCTD12,CD68
457,CD48,RPL5
458,FANCI,CDC20
459,TYMS,KIF22
460,RPS11,RPL27
461,HLA-DQB1,BLNK
462,IGSF6,C19orf38
463,HIST1H4C,PBK
464,FGD2,MNDA
465,FCRL5,DERL3
466,CD3E,ETS1
467,HLA-DRA,MEF2C
468,TNFSF13B,CSF3R
469,RPS2,RPL18A
470,IFI30,CD68
471,KIF4A,ASF1B
472,FCRLA,CIITA
473,CCNA2,FBXO5
474,CDC6,E2F2
475,FCGR1A,NPC2
476,CIITA,HVCN1
477,TIMELESS,GINS2
478,RPL19,RPS15
479,CDCA8,CDKN3
480,RPL34,SELL
481,BUB1,ZWINT
482,MCM4,AURKB
483,HLA-DPA1,MS4A1
484,MAD2L1,CCNA2
485,RPL27,RPL35
486,MZB1,TXNDC5
487,CKS2,ASPM
488,LY86,CD19
489,S100A4,IL32
490,MS4A4A,LILRB2
491,TNFAIP3,RGS1
492,EIF3L,RPLP0
493,TROAP,DEPDC1B
494,HCK,C1QA
495,PARK7,TPI1
