,CD8Tex,B,pDC,Treg,CD4Tnaive,M1,Fibroblasts,NK,Monocyte
CD8Tex,3.9270606386412528,,2.5246830177738584,3.540982987079466,-4.332567974438834,3.753033276176613,,4.667708774878957,5.320149115050442
B,,,1.7618153930694747,2.114954908784515,,,,,5.062901201393423
pDC,2.5246830177738584,1.7618153930694747,,,,2.753437226625133,,,3.43161965435633
Treg,3.540982987079466,2.114954908784515,,5.023698155651601,3.016904686021893,3.9513188019534846,2.4947673250551015,2.928486940810381,5.338061740319622
CD4Tnaive,-4.332567974438834,,,3.016904686021893,-5.115059630975869,3.8167932719003153,-2.21188753232698,-5.2262379752022605,5.229788560259523
M1,3.753033276176613,,2.753437226625133,3.9513188019534846,3.8167932719003153,3.219597514304805,3.899074047580533,2.2914064926369124,4.834689423630014
Fibroblasts,,,,2.4947673250551015,-2.21188753232698,3.899074047580533,-3.080074160063981,-2.8228449398771818,5.171380445040685
NK,4.667708774878957,,,2.928486940810381,-5.2262379752022605,2.2914064926369124,-2.8228449398771818,4.52093663995415,5.19458779849608
Monocyte,5.320149115050442,5.062901201393423,3.43161965435633,5.338061740319622,5.229788560259523,4.834689423630014,5.171380445040685,5.19458779849608,5.370349873200611
