,Cluster_0,Cluster_1
34,WMC0110544_GSM3496390_AB3283_T,W684731_GSM3496308_AB2494_Tumo
35,WMC783152_GSM3496478_AB5424_PB,WMC291871_GSM3496427_AB4135_Tu
36,W685884_GSM3496311_AB2497_Tumo,W693939_GSM3496332_AB2518_Tumo
37,W705837_GSM3496339_AB2549_Tumo,WMC0035263_GSM3496371_AB3087_T
38,WMC288561_GSM3496419_AB4127_Tu,WMC626323_GSM3496463_AB5015_Tu
39,WMC0107963_GSM3496383_AB3276_T,W545300_GSM3496299_AB2103_Tumo
40,W703439_GSM3496337_AB2542_Tumo,WMC137921_GSM3496394_AB3725_Tu
41,W844026_GSM3496361_AB2916_Tumo,W692766_GSM3496329_AB2515_Tumo
42,W872101_GSM3496367_AB2990_Tumo,WMC290924_GSM3496425_AB4133_Tu
43,WMC330052_GSM3496442_AB4235_Tu,WMC290723_GSM3496424_AB4132_Tu
44,WMC627374_GSM3496466_AB5018_Tu,WMC137967_GSM3496394_AB3725_Tu
45,WMC250846_GSM3496408_AB4028_Tu,WMC252135_GSM3496412_AB4032_Tu
46,WMC287537_GSM3496416_AB4124_Tu,W843527_GSM3496360_AB2915_Tumo
47,WMC379939_GSM3496453_AB4365_PB,WMC222385_GSM3496406_AB3946_Tu
48,WMC330803_GSM3496444_AB4237_Tu,WMC0038475_GSM3496379_AB3095_T
49,WMC624241_GSM3496458_AB5010_Tu,W841017_GSM3496354_AB2909_Tumo
50,WMC291329_GSM3496426_AB4134_Tu,WMC293146_GSM3496430_AB4138_Tu
51,W544941_GSM3496298_AB2102_Tumo,WMC329522_GSM3496440_AB4233_Tu
52,WMC218774_GSM3496397_AB3937_Tu,WMC293830_GSM3496432_AB4140_Tu
53,WMC0110840_GSM3496391_AB3284_T,W693571_GSM3496331_AB2517_Tumo
54,WMC251302_GSM3496410_AB4030_Tu,WMC149260_GSM3496396_AB3755_Tu
55,WMC808871_GSM3496485_AB5491_PB,W714061_GSM3496341_AB2570_Tumo
56,W687582_GSM3496315_AB2501_Tumo,WMC290932_GSM3496425_AB4133_Tu
57,WMC0106946_GSM3496381_AB3274_T,W688302_GSM3496317_AB2503_Tumo
58,WMC696003_GSM3496475_AB5197_Tu,WMC222171_GSM3496406_AB3946_Tu
59,WMC287455_GSM3496416_AB4124_Tu,W543205_GSM3496293_AB2097_Tumo
60,W695378_GSM3496335_AB2521_Tumo,WMC286817_GSM3496414_AB4122_Tu
61,WMC0036997_GSM3496376_AB3092_T,WMC331662_GSM3496446_AB4239_Tu
62,W702887_GSM3496336_AB2541_Tumo,WMC0037170_GSM3496376_AB3092_T
63,W839881_GSM3496351_AB2906_Tumo,WMC250405_GSM3496407_AB4027_Tu
64,W685978_GSM3496311_AB2497_Tumo,WMC0034992_GSM3496370_AB3086_T
65,WMC135185_GSM3496392_AB3718_Tu,W841970_GSM3496356_AB2911_Tumo
66,WMC0109735_GSM3496388_AB3281_T,W715457_GSM3496342_AB2574_Tumo
67,WMC0035999_GSM3496373_AB3089_T,WMC379935_GSM3496452_AB4364_PB
68,WMC294713_GSM3496435_AB4143_Tu,W693916_GSM3496332_AB2518_Tumo
69,W687584_GSM3496315_AB2501_Tumo,WMC328965_GSM3496439_AB4232_Tu
70,WMC378478_GSM3496449_AB4361_PB,WMC137901_GSM3496394_AB3725_Tu
71,W694365_GSM3496333_AB2519_Tumo,W695239_GSM3496335_AB2521_Tumo
72,W692355_GSM3496327_AB2513_Tumo,WMC0038171_GSM3496379_AB3095_T
73,W702809_GSM3496336_AB2541_Tumo,WMC329480_GSM3496440_AB4233_Tu
74,WMC220283_GSM3496401_AB3941_Tu,W705858_GSM3496339_AB2549_Tumo
75,WMC293470_GSM3496431_AB4139_Tu,W842121_GSM3496356_AB2911_Tumo
76,WMC623862_GSM3496457_AB5009_Tu,WMC0036786_GSM3496375_AB3091_T
77,W695286_GSM3496335_AB2521_Tumo,WMC379958_GSM3496453_AB4365_PB
78,W691965_GSM3496326_AB2512_Tumo,WMC137664_GSM3496394_AB3725_Tu
79,WMC0108670_GSM3496385_AB3278_T,W851692_GSM3496365_AB2936_Tumo
80,WMC289636_GSM3496421_AB4129_Tu,WMC0032023_GSM3496369_AB3079_T
81,W692448_GSM3496328_AB2514_Tumo,W689571_GSM3496320_AB2506_Tumo
82,WMC135011_GSM3496392_AB3718_Tu,WMC0109705_GSM3496388_AB3281_T
83,W686729_GSM3496313_AB2499_Tumo,W692819_GSM3496329_AB2515_Tumo
84,WMC286422_GSM3496413_AB4121_Tu,W543416_GSM3496294_AB2098_Tumo
85,W842543_GSM3496358_AB2913_Tumo,WMC329037_GSM3496439_AB4232_Tu
86,W542430_GSM3496291_AB2095_Tumo,W694569_GSM3496333_AB2519_Tumo
87,WMC218818_GSM3496397_AB3937_Tu,W839490_GSM3496350_AB2905_Tumo
88,WMC0034763_GSM3496370_AB3086_T,W695097_GSM3496335_AB2521_Tumo
89,W693595_GSM3496331_AB2517_Tumo,WMC0032284_GSM3496369_AB3079_T
90,WMC287443_GSM3496416_AB4124_Tu,WMC0036563_GSM3496374_AB3090_T
91,W841842_GSM3496356_AB2911_Tumo,W690065_GSM3496322_AB2508_Tumo
92,WMC627314_GSM3496466_AB5018_Tu,W542696_GSM3496292_AB2096_Tumo
93,W545383_GSM3496299_AB2103_Tumo,WMC0035275_GSM3496371_AB3087_T
94,W687319_GSM3496314_AB2500_Tumo,WMC137895_GSM3496394_AB3725_Tu
95,WMC294759_GSM3496435_AB4143_Tu,WMC293714_GSM3496432_AB4140_Tu
96,W688924_GSM3496319_AB2505_Tumo,WMC624633_GSM3496459_AB5011_Tu
97,W844549_GSM3496363_AB2918_Tumo,WMC251361_GSM3496410_AB4030_Tu
98,W694901_GSM3496334_AB2520_Tumo,W841055_GSM3496354_AB2909_Tumo
99,WMC625622_GSM3496461_AB5013_Tu,WMC624857_GSM3496459_AB5011_Tu
100,WMC221009_GSM3496403_AB3943_Tu,WMC0037622_GSM3496377_AB3093_T
101,W687728_GSM3496315_AB2501_Tumo,WMC331621_GSM3496446_AB4239_Tu
102,W693996_GSM3496332_AB2518_Tumo,W692216_GSM3496327_AB2513_Tumo
103,WMC379963_GSM3496453_AB4365_PB,WMC287381_GSM3496415_AB4123_Tu
104,W686884_GSM3496313_AB2499_Tumo,W464518_GSM3496288_AB1892_Tumo
105,W690993_GSM3496324_AB2510_Tumo,WMC0037120_GSM3496376_AB3092_T
106,WMC0031908_GSM3496368_AB3078_T,WMC328056_GSM3496436_AB4229_Tu
107,WMC809257_GSM3496486_AB5492_PB,WMC0035216_GSM3496371_AB3087_T
108,W713922_GSM3496341_AB2570_Tumo,W871911_GSM3496366_AB2989_Tumo
109,W839791_GSM3496350_AB2905_Tumo,W684167_GSM3496306_AB2492_Tumo
110,W543518_GSM3496294_AB2098_Tumo,WMC219001_GSM3496397_AB3937_Tu
111,W691152_GSM3496324_AB2510_Tumo,W872051_GSM3496366_AB2989_Tumo
112,WMC251980_GSM3496411_AB4031_Tu,WMC219156_GSM3496398_AB3938_Tu
113,WMC0031843_GSM3496368_AB3078_T,W685033_GSM3496308_AB2494_Tumo
114,WMC250362_GSM3496407_AB4027_Tu,W690297_GSM3496322_AB2508_Tumo
115,W690787_GSM3496323_AB2509_Tumo,WMC149264_GSM3496396_AB3755_Tu
116,W695142_GSM3496335_AB2521_Tumo,W695137_GSM3496335_AB2521_Tumo
117,WMC696820_GSM3496477_AB5199_Tu,WMC331584_GSM3496446_AB4239_Tu
118,WMC294868_GSM3496435_AB4143_Tu,W542239_GSM3496291_AB2095_Tumo
119,W689881_GSM3496321_AB2507_Tumo,W703369_GSM3496337_AB2542_Tumo
120,W695045_GSM3496334_AB2520_Tumo,W683747_GSM3496305_AB2491_Tumo
121,WMC809136_GSM3496485_AB5491_PB,WMC294521_GSM3496434_AB4142_Tu
122,W693402_GSM3496330_AB2516_Tumo,WMC329072_GSM3496439_AB4232_Tu
123,W705845_GSM3496339_AB2549_Tumo,WMC0032241_GSM3496369_AB3079_T
124,W695084_GSM3496335_AB2521_Tumo,WMC0038151_GSM3496379_AB3095_T
125,WMC293129_GSM3496430_AB4138_Tu,WMC331410_GSM3496445_AB4238_Tu
126,W843500_GSM3496360_AB2915_Tumo,W843633_GSM3496360_AB2915_Tumo
127,WMC287018_GSM3496415_AB4123_Tu,WMC331323_GSM3496445_AB4238_Tu
128,WMC808806_GSM3496484_AB5490_PB,WMC149210_GSM3496396_AB3755_Tu
129,WMC293505_GSM3496431_AB4139_Tu,WMC327787_GSM3496436_AB4229_Tu
130,WMC0032322_GSM3496369_AB3079_T,W684899_GSM3496308_AB2494_Tumo
131,W685374_GSM3496309_AB2495_Tumo,WMC329147_GSM3496439_AB4232_Tu
132,WMC286454_GSM3496413_AB4121_Tu,WMC329297_GSM3496440_AB4233_Tu
133,WMC0035428_GSM3496371_AB3087_T,WMC292676_GSM3496429_AB4137_Tu
134,WMC251392_GSM3496410_AB4030_Tu,WMC623481_GSM3496456_AB5008_Tu
135,WMC0038241_GSM3496379_AB3095_T,WMC0031706_GSM3496368_AB3078_T
136,WMC785077_GSM3496483_AB5429_PB,WMC331401_GSM3496445_AB4238_Tu
137,W684952_GSM3496308_AB2494_Tumo,W702931_GSM3496336_AB2541_Tumo
138,WMC250154_GSM3496407_AB4027_Tu,W542905_GSM3496292_AB2096_Tumo
139,WMC294642_GSM3496434_AB4142_Tu,WMC138087_GSM3496395_AB3726_Tu
140,W703717_GSM3496338_AB2543_Tumo,WMC0035851_GSM3496373_AB3089_T
141,W692836_GSM3496329_AB2515_Tumo,W703033_GSM3496336_AB2541_Tumo
142,W689581_GSM3496320_AB2506_Tumo,WMC290324_GSM3496423_AB4131_Tu
143,WMC0037310_GSM3496376_AB3092_T,W871962_GSM3496366_AB2989_Tumo
144,WMC222012_GSM3496405_AB3945_Tu,W462994_GSM3496286_AB1890_Tumo
145,W688359_GSM3496317_AB2503_Tumo,WMC0037122_GSM3496376_AB3092_T
146,WMC286786_GSM3496414_AB4122_Tu,W838067_GSM3496346_AB2901_Tumo
147,WMC785368_GSM3496483_AB5429_PB,WMC0108812_GSM3496386_AB3279_T
148,W706180_GSM3496339_AB2549_Tumo,WMC0038680_GSM3496380_AB3096_T
149,W844131_GSM3496362_AB2917_Tumo,W462144_GSM3496285_AB1889_Tumo
150,WMC0110662_GSM3496390_AB3283_T,W872022_GSM3496366_AB2989_Tumo
151,WMC623397_GSM3496456_AB5008_Tu,W703887_GSM3496338_AB2543_Tumo
152,W546261_GSM3496301_AB2105_Tumo,W463560_GSM3496287_AB1891_Tumo
153,W843564_GSM3496360_AB2915_Tumo,WMC0034702_GSM3496370_AB3086_T
154,WMC220433_GSM3496401_AB3941_Tu,WMC809744_GSM3496487_AB5493_PB
155,WMC0032331_GSM3496369_AB3079_T,W685720_GSM3496310_AB2496_Tumo
156,W692549_GSM3496328_AB2514_Tumo,WMC293725_GSM3496432_AB4140_Tu
157,W691732_GSM3496326_AB2512_Tumo,WMC292887_GSM3496430_AB4138_Tu
158,W684410_GSM3496307_AB2493_Tumo,WMC694043_GSM3496469_AB5191_Tu
159,W544722_GSM3496297_AB2101_Tumo,W844954_GSM3496364_AB2919_Tumo
160,WMC291211_GSM3496425_AB4133_Tu,WMC694879_GSM3496472_AB5194_Tu
161,WMC251623_GSM3496410_AB4030_Tu,WMC290373_GSM3496423_AB4131_Tu
162,WMC291121_GSM3496425_AB4133_Tu,WMC330789_GSM3496444_AB4237_Tu
163,W692593_GSM3496328_AB2514_Tumo,W541850_GSM3496290_AB2094_Tumo
164,WMC292906_GSM3496430_AB4138_Tu,WMC330618_GSM3496443_AB4236_Tu
165,W841135_GSM3496354_AB2909_Tumo,W693750_GSM3496331_AB2517_Tumo
166,WMC135299_GSM3496392_AB3718_Tu,WMC331458_GSM3496445_AB4238_Tu
167,WMC380841_GSM3496455_AB4367_PB,W695348_GSM3496335_AB2521_Tumo
168,W693555_GSM3496331_AB2517_Tumo,WMC626517_GSM3496464_AB5016_Tu
169,WMC379841_GSM3496452_AB4364_PB,WMC218755_GSM3496397_AB3937_Tu
170,WMC251468_GSM3496410_AB4030_Tu,WMC294275_GSM3496433_AB4141_Tu
171,WMC381019_GSM3496455_AB4367_PB,W703472_GSM3496337_AB2542_Tumo
172,W840558_GSM3496352_AB2907_Tumo,WMC149283_GSM3496396_AB3755_Tu
173,W840963_GSM3496353_AB2908_Tumo,W871858_GSM3496366_AB2989_Tumo
174,WMC0110030_GSM3496389_AB3282_T,W851487_GSM3496365_AB2936_Tumo
175,W694967_GSM3496334_AB2520_Tumo,WMC330283_GSM3496442_AB4235_Tu
176,WMC0109334_GSM3496387_AB3280_T,WMC0036758_GSM3496375_AB3091_T
177,WMC330456_GSM3496443_AB4236_Tu,WMC808879_GSM3496485_AB5491_PB
178,W839200_GSM3496349_AB2904_Tumo,W843060_GSM3496359_AB2914_Tumo
179,WMC379257_GSM3496451_AB4363_PB,WMC0109951_GSM3496389_AB3282_T
180,WMC380484_GSM3496454_AB4366_PB,W688727_GSM3496318_AB2504_Tumo
181,WMC221135_GSM3496403_AB3943_Tu,WMC292988_GSM3496430_AB4138_Tu
182,WMC218917_GSM3496397_AB3937_Tu,WMC0038431_GSM3496379_AB3095_T
183,WMC328764_GSM3496438_AB4231_Tu,WMC294488_GSM3496434_AB4142_Tu
184,WMC287405_GSM3496416_AB4124_Tu,WMC331337_GSM3496445_AB4238_Tu
185,WMC251456_GSM3496410_AB4030_Tu,W839202_GSM3496349_AB2904_Tumo
186,WMC626583_GSM3496464_AB5016_Tu,WMC288753_GSM3496419_AB4127_Tu
187,W689647_GSM3496320_AB2506_Tumo,WMC380169_GSM3496453_AB4365_PB
188,WMC626395_GSM3496463_AB5015_Tu,W541727_GSM3496289_AB2093_Tumo
189,WMC0037851_GSM3496378_AB3094_T,WMC149522_GSM3496396_AB3755_Tu
190,WMC251177_GSM3496409_AB4029_Tu,W692060_GSM3496327_AB2513_Tumo
191,WMC0035342_GSM3496371_AB3087_T,W692776_GSM3496329_AB2515_Tumo
192,WMC626772_GSM3496464_AB5016_Tu,WMC329250_GSM3496440_AB4233_Tu
193,WMC809646_GSM3496487_AB5493_PB,WMC381086_GSM3496455_AB4367_PB
194,W691813_GSM3496326_AB2512_Tumo,W844445_GSM3496363_AB2918_Tumo
195,WMC252402_GSM3496412_AB4032_Tu,WMC149207_GSM3496396_AB3755_Tu
196,W687203_GSM3496314_AB2500_Tumo,WMC138152_GSM3496395_AB3726_Tu
197,W685152_GSM3496309_AB2495_Tumo,WMC379987_GSM3496453_AB4365_PB
198,WMC289038_GSM3496420_AB4128_Tu,W463625_GSM3496287_AB1891_Tumo
199,WMC625582_GSM3496461_AB5013_Tu,W543077_GSM3496293_AB2097_Tumo
200,WMC0036490_GSM3496374_AB3090_T,W842381_GSM3496357_AB2912_Tumo
201,WMC0031732_GSM3496368_AB3078_T,W543347_GSM3496293_AB2097_Tumo
202,WMC250184_GSM3496407_AB4027_Tu,W541800_GSM3496289_AB2093_Tumo
203,WMC378976_GSM3496450_AB4362_PB,W840607_GSM3496353_AB2908_Tumo
204,WMC293005_GSM3496430_AB4138_Tu,W841306_GSM3496354_AB2909_Tumo
205,WMC218716_GSM3496397_AB3937_Tu,WMC290035_GSM3496422_AB4130_Tu
206,WMC220646_GSM3496402_AB3942_Tu,WMC329863_GSM3496441_AB4234_Tu
207,WMC251117_GSM3496409_AB4029_Tu,WMC0032198_GSM3496369_AB3079_T
208,WMC627554_GSM3496466_AB5018_Tu,W843507_GSM3496360_AB2915_Tumo
209,W685016_GSM3496308_AB2494_Tumo,W707447_GSM3496340_AB2553_Tumo
210,WMC0107461_GSM3496382_AB3275_T,WMC330797_GSM3496444_AB4237_Tu
211,W844503_GSM3496363_AB2918_Tumo,WMC149195_GSM3496396_AB3755_Tu
212,WMC625186_GSM3496460_AB5012_Tu,W694778_GSM3496334_AB2520_Tumo
213,WMC0107939_GSM3496383_AB3276_T,W691778_GSM3496326_AB2512_Tumo
214,WMC292351_GSM3496428_AB4136_Tu,WMC219379_GSM3496398_AB3938_Tu
215,WMC292745_GSM3496429_AB4137_Tu,WMC292755_GSM3496429_AB4137_Tu
216,WMC252107_GSM3496412_AB4032_Tu,WMC292418_GSM3496429_AB4137_Tu
217,WMC623561_GSM3496456_AB5008_Tu,WMC328106_GSM3496437_AB4230_Tu
218,WMC294342_GSM3496434_AB4142_Tu,WMC220428_GSM3496401_AB3941_Tu
219,WMC696735_GSM3496476_AB5198_Tu,W542584_GSM3496291_AB2095_Tumo
220,W542375_GSM3496291_AB2095_Tumo,W844604_GSM3496363_AB2918_Tumo
221,WMC0035484_GSM3496372_AB3088_T,WMC0035738_GSM3496372_AB3088_T
222,W843505_GSM3496360_AB2915_Tumo,W543941_GSM3496295_AB2099_Tumo
223,W544449_GSM3496296_AB2100_Tumo,WMC624836_GSM3496459_AB5011_Tu
224,WMC293286_GSM3496431_AB4139_Tu,WMC623649_GSM3496456_AB5008_Tu
225,WMC380347_GSM3496454_AB4366_PB,WMC0036008_GSM3496373_AB3089_T
226,W544177_GSM3496296_AB2100_Tumo,WMC287758_GSM3496416_AB4124_Tu
227,W685694_GSM3496310_AB2496_Tumo,WMC0032177_GSM3496369_AB3079_T
228,WMC784860_GSM3496482_AB5428_PB,WMC626401_GSM3496463_AB5015_Tu
229,WMC0108527_GSM3496385_AB3278_T,WMC286302_GSM3496413_AB4121_Tu
230,WMC623759_GSM3496456_AB5008_Tu,W692090_GSM3496327_AB2513_Tumo
231,W687805_GSM3496316_AB2502_Tumo,W462950_GSM3496286_AB1890_Tumo
232,W693310_GSM3496330_AB2516_Tumo,W707596_GSM3496340_AB2553_Tumo
233,W839458_GSM3496350_AB2905_Tumo,WMC0037092_GSM3496376_AB3092_T
234,WMC0107996_GSM3496383_AB3276_T,W692553_GSM3496328_AB2514_Tumo
235,W693363_GSM3496330_AB2516_Tumo,WMC627869_GSM3496467_AB5019_Tu
236,WMC625855_GSM3496462_AB5014_Tu,W690628_GSM3496323_AB2509_Tumo
237,WMC624831_GSM3496459_AB5011_Tu,WMC149242_GSM3496396_AB3755_Tu
238,WMC378018_GSM3496448_AB4360_PB,W843152_GSM3496359_AB2914_Tumo
239,W687562_GSM3496315_AB2501_Tumo,WMC0037511_GSM3496377_AB3093_T
240,WMC785433_GSM3496483_AB5429_PB,WMC0036712_GSM3496375_AB3091_T
241,W690452_GSM3496323_AB2509_Tumo,W714093_GSM3496341_AB2570_Tumo
242,W687200_GSM3496314_AB2500_Tumo,WMC696382_GSM3496476_AB5198_Tu
243,W842918_GSM3496359_AB2914_Tumo,WMC626084_GSM3496463_AB5015_Tu
244,WMC291975_GSM3496427_AB4135_Tu,WMC0031905_GSM3496368_AB3078_T
245,W692957_GSM3496329_AB2515_Tumo,W842179_GSM3496357_AB2912_Tumo
246,WMC219194_GSM3496398_AB3938_Tu,W463112_GSM3496286_AB1890_Tumo
247,W546039_GSM3496300_AB2104_Tumo,WMC328304_GSM3496437_AB4230_Tu
248,WMC138018_GSM3496395_AB3726_Tu,W694181_GSM3496332_AB2518_Tumo
249,WMC0107565_GSM3496382_AB3275_T,WMC626239_GSM3496463_AB5015_Tu
250,W842205_GSM3496357_AB2912_Tumo,W707709_GSM3496340_AB2553_Tumo
251,W688631_GSM3496318_AB2504_Tumo,W842165_GSM3496357_AB2912_Tumo
252,WMC380788_GSM3496455_AB4367_PB,WMC809963_GSM3496487_AB5493_PB
253,W692391_GSM3496328_AB2514_Tumo,W703881_GSM3496338_AB2543_Tumo
254,W690977_GSM3496324_AB2510_Tumo,WMC331702_GSM3496446_AB4239_Tu
255,W695422_GSM3496335_AB2521_Tumo,WMC289525_GSM3496421_AB4129_Tu
256,WMC0107115_GSM3496381_AB3274_T,WMC219324_GSM3496398_AB3938_Tu
257,W687166_GSM3496314_AB2500_Tumo,W543356_GSM3496293_AB2097_Tumo
258,WMC810252_GSM3496488_AB5494_PB,WMC624362_GSM3496458_AB5010_Tu
259,W686968_GSM3496313_AB2499_Tumo,WMC627021_GSM3496465_AB5017_Tu
260,WMC0108686_GSM3496385_AB3278_T,W871999_GSM3496366_AB2989_Tumo
261,W689745_GSM3496321_AB2507_Tumo,WMC331537_GSM3496445_AB4238_Tu
262,WMC220018_GSM3496400_AB3940_Tu,WMC218815_GSM3496397_AB3937_Tu
263,W684324_GSM3496307_AB2493_Tumo,W543164_GSM3496293_AB2097_Tumo
264,WMC328193_GSM3496437_AB4230_Tu,W841210_GSM3496354_AB2909_Tumo
265,WMC379191_GSM3496451_AB4363_PB,WMC292926_GSM3496430_AB4138_Tu
266,W689570_GSM3496320_AB2506_Tumo,WMC328745_GSM3496438_AB4231_Tu
267,W545354_GSM3496299_AB2103_Tumo,W841285_GSM3496354_AB2909_Tumo
268,W844294_GSM3496362_AB2917_Tumo,WMC0035319_GSM3496371_AB3087_T
269,WMC286894_GSM3496414_AB4122_Tu,WMC625654_GSM3496461_AB5013_Tu
270,WMC380303_GSM3496453_AB4365_PB,WMC624403_GSM3496458_AB5010_Tu
271,W843229_GSM3496359_AB2914_Tumo,WMC379810_GSM3496452_AB4364_PB
272,W703777_GSM3496338_AB2543_Tumo,WMC0037178_GSM3496376_AB3092_T
273,W840630_GSM3496353_AB2908_Tumo,W544201_GSM3496296_AB2100_Tumo
274,WMC0037588_GSM3496377_AB3093_T,WMC329756_GSM3496441_AB4234_Tu
275,W841027_GSM3496354_AB2909_Tumo,WMC252385_GSM3496412_AB4032_Tu
276,WMC220670_GSM3496402_AB3942_Tu,WMC625230_GSM3496460_AB5012_Tu
277,WMC286397_GSM3496413_AB4121_Tu,W872177_GSM3496367_AB2990_Tumo
278,WMC0037569_GSM3496377_AB3093_T,W694699_GSM3496334_AB2520_Tumo
279,WMC252286_GSM3496412_AB4032_Tu,WMC329697_GSM3496441_AB4234_Tu
280,W702756_GSM3496336_AB2541_Tumo,WMC329988_GSM3496441_AB4234_Tu
281,WMC0036352_GSM3496374_AB3090_T,WMC624188_GSM3496458_AB5010_Tu
282,W839765_GSM3496350_AB2905_Tumo,W694742_GSM3496334_AB2520_Tumo
283,WMC292734_GSM3496429_AB4137_Tu,WMC293181_GSM3496431_AB4139_Tu
284,W692625_GSM3496328_AB2514_Tumo,W464363_GSM3496288_AB1892_Tumo
285,WMC379731_GSM3496452_AB4364_PB,WMC293597_GSM3496432_AB4140_Tu
286,WMC0038855_GSM3496380_AB3096_T,W841747_GSM3496356_AB2911_Tumo
287,W691377_GSM3496325_AB2511_Tumo,WMC328899_GSM3496439_AB4232_Tu
288,WMC250708_GSM3496408_AB4028_Tu,WMC149422_GSM3496396_AB3755_Tu
289,WMC0109740_GSM3496388_AB3281_T,WMC290248_GSM3496423_AB4131_Tu
290,WMC135087_GSM3496392_AB3718_Tu,W872021_GSM3496366_AB2989_Tumo
291,WMC0109791_GSM3496388_AB3281_T,WMC695566_GSM3496473_AB5195_Tu
292,W689746_GSM3496321_AB2507_Tumo,W843786_GSM3496361_AB2916_Tumo
293,W843469_GSM3496360_AB2915_Tumo,WMC625955_GSM3496462_AB5014_Tu
294,WMC219299_GSM3496398_AB3938_Tu,W694342_GSM3496333_AB2519_Tumo
295,WMC289366_GSM3496421_AB4129_Tu,W693574_GSM3496331_AB2517_Tumo
296,WMC0036510_GSM3496374_AB3090_T,W707687_GSM3496340_AB2553_Tumo
297,WMC0109596_GSM3496388_AB3281_T,W703858_GSM3496338_AB2543_Tumo
298,WMC0038725_GSM3496380_AB3096_T,WMC331859_GSM3496446_AB4239_Tu
299,W543907_GSM3496295_AB2099_Tumo,W871854_GSM3496366_AB2989_Tumo
300,WMC252093_GSM3496412_AB4032_Tu,WMC291059_GSM3496425_AB4133_Tu
301,W692410_GSM3496328_AB2514_Tumo,WMC290780_GSM3496424_AB4132_Tu
302,W684677_GSM3496307_AB2493_Tumo,W693018_GSM3496329_AB2515_Tumo
303,WMC379526_GSM3496451_AB4363_PB,W841737_GSM3496355_AB2910_Tumo
304,W689473_GSM3496320_AB2506_Tumo,WMC0108774_GSM3496385_AB3278_T
305,W545183_GSM3496298_AB2102_Tumo,WMC331916_GSM3496446_AB4239_Tu
306,W687985_GSM3496316_AB2502_Tumo,W871802_GSM3496366_AB2989_Tumo
307,WMC0038800_GSM3496380_AB3096_T,W464603_GSM3496288_AB1892_Tumo
308,WMC0038530_GSM3496380_AB3096_T,WMC625736_GSM3496462_AB5014_Tu
309,W687788_GSM3496316_AB2502_Tumo,WMC0037106_GSM3496376_AB3092_T
310,WMC292507_GSM3496429_AB4137_Tu,WMC0035395_GSM3496371_AB3087_T
311,W844535_GSM3496363_AB2918_Tumo,WMC138015_GSM3496394_AB3725_Tu
