,Cluster_0,Cluster_1
0,W690215_GSM3496322_AB2508_Tumo,WMC0110369_GSM3496390_AB3283_T
1,W684528_GSM3496307_AB2493_Tumo,W842456_GSM3496357_AB2912_Tumo
2,WMC626531_GSM3496464_AB5016_Tu,W464552_GSM3496288_AB1892_Tumo
3,WMC624761_GSM3496459_AB5011_Tu,W690681_GSM3496323_AB2509_Tumo
4,W842554_GSM3496358_AB2913_Tumo,WMC809658_GSM3496487_AB5493_PB
5,W872057_GSM3496366_AB2989_Tumo,WMC220169_GSM3496400_AB3940_Tu
6,W702982_GSM3496336_AB2541_Tumo,WMC135353_GSM3496393_AB3719_Tu
7,W705841_GSM3496339_AB2549_Tumo,W463671_GSM3496287_AB1891_Tumo
8,WMC0036598_GSM3496375_AB3091_T,W714048_GSM3496341_AB2570_Tumo
9,WMC138049_GSM3496395_AB3726_Tu,WMC0037101_GSM3496376_AB3092_T
10,WMC785074_GSM3496483_AB5429_PB,W684525_GSM3496307_AB2493_Tumo
11,WMC293230_GSM3496431_AB4139_Tu,WMC0109959_GSM3496389_AB3282_T
12,WMC287812_GSM3496417_AB4125_Tu,WMC149378_GSM3496396_AB3755_Tu
13,WMC808843_GSM3496484_AB5490_PB,WMC0109680_GSM3496388_AB3281_T
14,W844951_GSM3496364_AB2919_Tumo,WMC0036822_GSM3496375_AB3091_T
15,WMC289656_GSM3496421_AB4129_Tu,W543653_GSM3496294_AB2098_Tumo
16,W844839_GSM3496364_AB2919_Tumo,W714211_GSM3496341_AB2570_Tumo
17,W685518_GSM3496310_AB2496_Tumo,WMC331775_GSM3496446_AB4239_Tu
18,W687736_GSM3496315_AB2501_Tumo,W545414_GSM3496299_AB2103_Tumo
19,W839101_GSM3496349_AB2904_Tumo,W843059_GSM3496359_AB2914_Tumo
20,WMC221596_GSM3496404_AB3944_Tu,WMC149345_GSM3496396_AB3755_Tu
21,W839558_GSM3496350_AB2905_Tumo,W841636_GSM3496355_AB2910_Tumo
22,W872360_GSM3496367_AB2990_Tumo,WMC290518_GSM3496424_AB4132_Tu
23,W542961_GSM3496292_AB2096_Tumo,WMC329708_GSM3496441_AB4234_Tu
24,WMC251096_GSM3496409_AB4029_Tu,W462136_GSM3496285_AB1889_Tumo
25,W687839_GSM3496316_AB2502_Tumo,WMC327929_GSM3496436_AB4229_Tu
26,W872292_GSM3496367_AB2990_Tumo,W851444_GSM3496365_AB2936_Tumo
27,W543188_GSM3496293_AB2097_Tumo,WMC329149_GSM3496439_AB4232_Tu
28,WMC251525_GSM3496410_AB4030_Tu,W840494_GSM3496352_AB2907_Tumo
29,WMC289165_GSM3496420_AB4128_Tu,WMC138063_GSM3496395_AB3726_Tu
30,WMC0110085_GSM3496389_AB3282_T,WMC329364_GSM3496440_AB4233_Tu
31,WMC624759_GSM3496459_AB5011_Tu,W703052_GSM3496336_AB2541_Tumo
32,W691455_GSM3496325_AB2511_Tumo,WMC331495_GSM3496445_AB4238_Tu
33,WMC287290_GSM3496415_AB4123_Tu,WMC287819_GSM3496417_AB4125_Tu
