,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.1,seurat_clusters,assign.ident,assign.score,Amp_batch,source,patient,assign.CIBERSORT,assign.curated,assign.level3_anno,assign.level1_anno
WMC287654_GSM3496416_AB4124_Tu,0,1470.0,565,3,3,CD4Tconv,1.0945560605446019,131,1,25,CD4Tconv,CD4Tconv,CD4Tnaive,0
W841897_GSM3496356_AB2911_Tumo,0,1841.0,819,2,2,B,4.4137903050582095,71,1,28,B,B,B,0
WMC626763_GSM3496464_AB5016_Tu,0,2030.0,846,0,0,CD8Tex,3.0066744286892493,179,1,22,CD8Tex,CD8Tex,CD8Tex,0
WMC0038155_GSM3496379_AB3095_T,0,1378.0,541,2,2,B,4.4137903050582095,94,1,29,B,B,B,0
WMC291202_GSM3496425_AB4133_Tu,0,2174.0,788,2,2,B,4.4137903050582095,140,1,25,B,B,B,0
WMC0037377_GSM3496377_AB3093_T,0,4202.0,1577,7,7,Mono/Macro,4.5137206227938425,92,1,29,Mono/Macro,Mono/Macro,Monocyte,0
WMC0036506_GSM3496374_AB3090_T,0,3764.0,1416,7,7,Mono/Macro,4.5137206227938425,89,1,29,Mono/Macro,Mono/Macro,Monocyte,0
WMC219138_GSM3496398_AB3938_Tu,0,6643.0,1923,16,16,Fibroblasts,0.5163241565316956,113,1,19,Fibroblasts,Fibroblasts,Fibroblasts,1
W703702_GSM3496338_AB2543_Tumo,0,1184.0,569,0,0,CD8Tex,3.0066744286892493,53,1,3,CD8Tex,CD8Tex,CD8Tex,0
WMC784046_GSM3496480_AB5426_PB,0,1638.0,503,3,3,CD4Tconv,1.0945560605446019,195,0,9,CD4Tconv,CD4Tconv,CD4Tnaive,0
W844938_GSM3496364_AB2919_Tumo,0,4532.0,1444,5,5,Mono/Macro,3.5403363819401705,79,1,12,Mono/Macro,Mono/Macro,M1,0
W843485_GSM3496360_AB2915_Tumo,0,3097.0,1108,8,8,CD8Tex,2.3728707457939557,75,1,12,CD8Tex,CD8Tex,CD8Tex,0
WMC0038892_GSM3496380_AB3096_T,0,2642.0,1111,0,0,CD8Tex,3.0066744286892493,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC218884_GSM3496397_AB3937_Tu,0,4207.0,1278,16,16,Fibroblasts,0.5163241565316956,112,1,19,Fibroblasts,Fibroblasts,Fibroblasts,1
W707509_GSM3496340_AB2553_Tumo,0,3910.0,1293,5,5,Mono/Macro,3.5403363819401705,55,1,4,Mono/Macro,Mono/Macro,M1,0
WMC0038631_GSM3496380_AB3096_T,0,3042.0,1317,1,1,CD8Tex,4.089338694095589,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC138144_GSM3496395_AB3726_Tu,0,4372.0,1351,17,17,Fibroblasts,0.911109777825356,110,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
W685085_GSM3496309_AB2495_Tumo,0,2059.0,762,2,2,B,4.4137903050582095,24,1,6,B,B,B,0
WMC624332_GSM3496458_AB5010_Tu,0,1598.0,605,0,0,CD8Tex,3.0066744286892493,173,1,22,CD8Tex,CD8Tex,CD8Tex,0
WMC0038548_GSM3496380_AB3096_T,0,2757.0,1259,9,9,TMKI67,2.1419943291597425,95,1,29,TMKI67,TMKI67,TMKI67,0
W463645_GSM3496287_AB1891_Tumo,0,1665.0,551,18,18,Mono/Macro,1.7507389384025052,2,1,14,Mono/Macro,Mono/Macro,Monocyte,0
W688482_GSM3496317_AB2503_Tumo,0,2136.0,628,3,3,CD4Tconv,1.0945560605446019,32,1,6,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC331347_GSM3496445_AB4238_Tu,0,2396.0,959,4,4,Mono/Macro,5.045165456293893,160,1,26,Mono/Macro,Mono/Macro,Monocyte,0
WMC0037030_GSM3496376_AB3092_T,0,4341.0,1596,2,2,B,4.4137903050582095,91,1,29,B,B,B,0
W851602_GSM3496365_AB2936_Tumo,0,2528.0,596,4,4,Mono/Macro,5.045165456293893,80,1,12,Mono/Macro,Mono/Macro,Monocyte,0
W541967_GSM3496290_AB2094_Tumo,0,1437.0,694,3,3,CD4Tconv,1.0945560605446019,5,1,14,CD4Tconv,CD4Tconv,CD4Tnaive,0
W689749_GSM3496321_AB2507_Tumo,0,1494.0,597,1,1,CD8Tex,4.089338694095589,36,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC220688_GSM3496402_AB3942_Tu,0,2037.0,761,0,0,CD8Tex,3.0066744286892493,117,1,1,CD8Tex,CD8Tex,CD8Tex,0
WMC0038775_GSM3496380_AB3096_T,0,1230.0,678,0,0,CD8Tex,3.0066744286892493,95,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC251332_GSM3496410_AB4030_Tu,0,2538.0,943,3,3,CD4Tconv,1.0945560605446019,125,1,18,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC626358_GSM3496463_AB5015_Tu,0,1830.0,798,1,1,CD8Tex,4.089338694095589,178,1,22,CD8Tex,CD8Tex,CD8Tex,0
W462274_GSM3496285_AB1889_Tumo,0,1579.0,780,1,1,CD8Tex,4.089338694095589,0,1,14,CD8Tex,CD8Tex,CD8Tex,0
WMC624187_GSM3496458_AB5010_Tu,0,4329.0,1389,9,9,TMKI67,2.1419943291597425,173,1,22,TMKI67,TMKI67,TMKI67,0
WMC624679_GSM3496459_AB5011_Tu,0,2429.0,900,0,0,CD8Tex,3.0066744286892493,174,1,22,CD8Tex,CD8Tex,CD8Tex,0
W543713_GSM3496294_AB2098_Tumo,0,3364.0,1103,15,15,Plasma,2.2459200087458866,9,1,2,Plasma,Plasma,Plasma,0
WMC0031943_GSM3496368_AB3078_T,0,1191.0,544,0,0,CD8Tex,3.0066744286892493,83,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC0037103_GSM3496376_AB3092_T,0,1540.0,665,2,2,B,4.4137903050582095,91,1,29,B,B,B,0
W694526_GSM3496333_AB2519_Tumo,0,3093.0,1037,1,1,CD8Tex,4.089338694095589,48,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC808641_GSM3496484_AB5490_PB,0,1592.0,723,1,1,CD8Tex,4.089338694095589,199,0,21,CD8Tex,CD8Tex,CD8Tex,0
WMC288837_GSM3496419_AB4127_Tu,0,1449.0,507,2,2,B,4.4137903050582095,134,1,25,B,B,B,0
WMC809278_GSM3496486_AB5492_PB,0,2089.0,707,3,3,CD4Tconv,1.0945560605446019,201,0,21,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC0038375_GSM3496379_AB3095_T,0,14562.0,1267,12,12,Plasma,2.8827375079550275,94,1,29,Plasma,Plasma,Plasma,0
WMC624470_GSM3496458_AB5010_Tu,0,1838.0,733,0,0,CD8Tex,3.0066744286892493,173,1,22,CD8Tex,CD8Tex,CD8Tex,0
WMC289511_GSM3496421_AB4129_Tu,0,1421.0,508,0,0,CD8Tex,3.0066744286892493,136,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC0037066_GSM3496376_AB3092_T,0,1791.0,786,8,8,CD8Tex,2.3728707457939557,91,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC0036777_GSM3496375_AB3091_T,0,2364.0,969,2,2,B,4.4137903050582095,90,1,29,B,B,B,0
