,Cell_Type_Counts,Cluster_1,Cluster_2
DC,1143,72.35345581802275,27.64654418197725
Fibroblasts,1213,50.618301731244856,49.38169826875515
Plasma,1504,3.723404255319149,96.27659574468085
B,3695,21.948579161028416,78.05142083897158
CD4Tnaive,3652,16.89485213581599,83.105147864184
M1,2354,94.39252336448598,5.607476635514018
CD8Tex,13179,39.82851506184081,60.17148493815919
pDC,567,40.74074074074074,59.25925925925925
Monocyte,4454,67.53480017961382,32.46519982038617
TMKI67,2718,25.312729948491537,74.68727005150846
