,Cell_Type_Counts,Cluster_1,Cluster_2
B,332,1.5060240963855422,98.49397590361446
CD4Tnaive,2558,78.22517591868647,21.774824081313525
NK,31884,61.701794003261824,38.298205996738176
M1,185,0.5405405405405406,99.45945945945947
CD8Tex,475,53.05263157894737,46.94736842105263
pDC,772,0.2590673575129534,99.74093264248705
Treg,668,19.610778443113773,80.38922155688623
Monocyte,1618,11.80469715698393,88.19530284301607
Fibroblasts,290,55.51724137931034,44.48275862068966
