,Cell_Type_Counts,Cluster_1,Cluster_2
Th17,823,24.665856622114216,75.33414337788578
B,720,85.83333333333333,14.166666666666666
CD8Tem,495,27.878787878787882,72.12121212121212
CD4Tnaive,3541,13.470770968652923,86.52922903134707
NK,899,34.14905450500556,65.85094549499443
CD8Tex,6429,67.07108414994556,32.92891585005444
M1,97,92.78350515463917,7.216494845360824
Treg,1844,51.30151843817787,48.69848156182213
CD8Tcm,3130,32.52396166134186,67.47603833865816
CD8Tnaive,1459,34.74982864976011,65.2501713502399
CD8Teff,3072,32.97526041666667,67.02473958333334
